freebase_id,name,aliases
/m/0cf_n,Augusta,augusta
/m/03cd0x,Catwoman,catwoman
/m/060ppp,E. W. Scripps Company,"company, e. w. scripps,e. w. scripps company,company,e.,scripps,w."
/m/05f260,The Samuel Goldwyn Company,"samuel,company,goldwyn,company, the samuel goldwyn,the,the samuel goldwyn company"
/m/01q6bg,Rod Taylor,"taylor,rod,rod taylor,taylor, rod"
/m/08g5q7,cerebral hemorrhage,"cerebral hemorrhage,hemorrhage,hemorrhage, cerebral,cerebral"
/m/02pd1q9,Kansas Jayhawks football,"kansas,football,jayhawks,football, kansas jayhawks,kansas jayhawks football"
/m/03yrkt,Brittany Snow,"brittany,snow, brittany,snow,brittany snow"
/m/01q3_2,Kenny Loggins,"kenny loggins,loggins,loggins, kenny,kenny"
/m/022840,American Indian Wars,"wars,wars, american indian,american indian wars,american,indian"
/m/01c9f2,Grammy Award for Best Country Album,"for,grammy,album, grammy award for best country,album,award,grammy award for best country album,country,best"
/m/07zlqp,TV5,tv5
/m/0fp_xp,Jermaine Easter,"easter,jermaine easter,jermaine,easter, jermaine"
/m/0x44q,Billings,billings
/m/05xpv,Peter Falk,"falk,falk, peter,peter,peter falk"
/m/02lp3c,Walter Murch,"walter,murch, walter,murch,walter murch"
/m/089pg7,Panic! at the Disco,"at,the,panic!,disco,disco, panic! at the,panic! at the disco"
/m/0d7hg4,Edward Kitsis,"kitsis,edward kitsis,edward,kitsis, edward"
/m/0f8pz,Andrew Lloyd Webber,"lloyd,andrew,andrew lloyd webber,webber,webber, andrew lloyd"
/m/07_3qd,Graham Gouldman,"gouldman, graham,graham gouldman,gouldman,graham"
/m/0fq117k,Tom Petty,"petty,tom petty,petty, tom,tom"
/m/0499lc,John Patrick Shanley,"patrick,shanley,john patrick shanley,shanley, john patrick,john"
/m/0c0tzp,George Hopkins,"hopkins,george hopkins,hopkins, george,george"
/m/0j3b,Atlantic Ocean,"ocean, atlantic,atlantic ocean,ocean,atlantic"
/m/08664q,Martin Donovan,"donovan,martin,martin donovan,donovan, martin"
/m/026l1lq,BYU Cougars football,"byu,football,cougars,byu cougars football,football, byu cougars"
/m/0249fn,Grammy Award for Best Contemporary Blues Album,"for,grammy,contemporary,album,award,blues,grammy award for best contemporary blues album,album, grammy award for best contemporary blues,best"
